Article_Name,ingredient_name,usage_amount,ingredient_name_02,usage_amount_02,ingredient_name_03,usage_amount_03,ingredient_name_04,usage_amount_04,ingredient_name_05,usage_amount_05
VECHIA NERA,VECHIA NERA LP,0.05,,,,,,,,
VILLA SANDI MV,VILLA SANDI LP,1,,,,,,,,
a) BUFALO CHICKEN SANDWICH,MOCARELA BLLOK LP ,0.05,FILETO PULE LP,0.12,,,,,,
a) CHICKEN CURRY SALLATE ,FILETO PULE LP,0.15,,,,,,,,
a) COCA COLA ,COCA COLA LP,1,,,,,,,,
a) COCA COLA ZERO,COCA COLA LP,1,,,,,,,,
a) FILETO PULE  ZGARE,FILETO PULE LP,0.25,,,,,,,,
a) FILETO PULE ORIZ SALLATE,FILETO PULE LP,0.15,,,,,,,,
a) KAFE EXPRESS,Kafe LP,0.01,,,,,,,,
a) KOTOLETE PULE LINGUINI SALLATE PAKETE,FILETO PULE LP,0.15,,,,,,,,
a) PENE ARRABIATA,GRANA PADANA LP ,0.03,,,,,,,,
a) QUESADILLAS PULE,MOCARELA BLLOK LP ,0.05,FILETO PULE LP,0.12,,,,,,
a) QUESADILLAS PULE PIKANTE,FILETO PULE LP,0.12,MOCARELA BLLOK LP ,0.05,,,,,,
a) SALLAT CEASAR,GRANA PADANA LP ,0.07,FILETO PULE LP,0.12,,,,,,
a) SUPE PULE,FILETO PULE LP,0.05,,,,,,,,
a) TERIYAKI CHICKEN ORIZ SALLATE,FILETO PULE LP,0.15,,,,,,,,
a) TERIYAKI SHRIMPS ORIZ SALLATE,KARKALECA OLA LP,1,,,,,,,,
a) UJE PLASTIK,UJE PLASTIK LP,1,,,,,,,,
a) UJE SELITA 0.75,UJE QAFSHTAMA 0.75 LP,1,,,,,,,,
a)NEWYORK CHEESECAKE,NEWYORK CHEESECAKE LP,1,,,,,,,,
b) BIFTEK TARTUF SALLATE,BIFTEK VICI LP,0.12,,,,,,,,
b) BIFTEK ZGARE SALLATE PATATE,BIFTEK VICI LP,0.12,,,,,,,,
b) CHICKEN AVOCADO WRAPS,MOCARELA BLLOK LP ,0.05,FILETO PULE LP,0.12,,,,,,
b) CHICKEN CAESAR SANDWICH,MOCARELA BLLOK LP ,0.05,FILETO PULE LP,0.12,,,,,,
b) CHICKEN SANDWICH,MOCARELA BLLOK LP ,0.05,FILETO PULE LP,0.12,,,,,,
b) CHIPOTLE CHICKEN BOWL,FILETO PULE LP,0.15,,,,,,,,
b) CURRY CHICKEN ,FILETO PULE LP,0.24,,,,,,,,
b) FANTA EXOTIC,FANTA LP,1,,,,,,,,
b) FANTA PORTOKALL,FANTA LP,1,,,,,,,,
b) KAFE MAKIATO,Kafe LP,0.01,,,,,,,,
b) KOTOLET PULE ORIZ SALLAT PAKET,FILETO PULE LP,0.15,,,,,,,,
b) QOFTE ZGARE PAKETE,QOFTE ZGARE LP,0.14,,,,,,,,
b) SALLAT GREKE,DJATH I BARDHE DELE LP,0.05,,,,,,,,
